id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	 salvatore mancuso gómez	0.5478	-0.7642	16	4	36
2	 formuló	0.3771	-0.5207	16	3	25
3	 miguel ramón posada castillo	0.1948	-0.1897	5	2	2
5	 sorprendido	0.0512	0.058	5	7	7
6	 formularon	0.6069	-1.0119	16	2	3
7	 trata	0.6594	-0.9735	16	2	12
8	 gustavo rafael ruiz cantillo	0.0323	0.3021	1	5	5
9	 mediar	0.0127	0.4113	1	7	8
10	 propinó	0.1232	0.4507	1	2	2
11	 produciéndole	0.156	0.4271	1	2	2
12	 alberto martínez macea	0.158	0.3336	1	11	12
15	 acepta	-0.2212	0.1527	13	7	8
16	 martin toro cañavera	0.2641	0.3879	1	7	7
17	 salió	0.3178	0.466	1	2	2
18	 interceptado	0.2864	0.4933	1	2	2
19	 procedió	0.1956	0.6007	1	4	4
20	 dispararle	0.4066	0.147	1	4	4
21	 ocasionándole	0.2187	0.5905	1	6	6
22	 confiesa	0.0419	0.3783	13	5	6
23	 ingrid esther cantillo fuentes	-0.6349	0.0401	2	7	7
24	 ingresaron	-0.7058	0.2089	2	4	4
25	 allí procedieron	-0.7939	0.0368	2	5	6
26	 procedieron	-0.3826	0.3558	4	24	30
27	 apropiarse	-0.7705	-0.0282	2	2	2
28	 seguidamente sacaron	-0.7807	0.0006	2	2	2
29	 sacaron	-0.4912	-0.2038	2	4	4
30	 asesinarla	-0.6521	0.2722	2	4	4
31	 bahía honda	-0.6226	0.0419	2	7	7
33	 marlen ascanio pabón	-0.608	0.4792	2	5	5
34	 atendiendo	-0.4143	0.4181	2	3	3
35	 sorprendida	-0.7273	0.5718	2	2	2
36	 pertenecer	-0.702	0.5941	2	2	2
37	 kevin antonio paz ascanio	-0.6184	0.4673	2	5	5
38	 pedro antonio martínez garcía	-0.1703	-0.1174	11	3	3
39	 era	0.1759	-0.2516	8	14	15
40	 contactado	-0.2099	-0.2638	11	2	2
41	 ser	-0.4473	0.0838	4	10	10
44	 pedro antonio martínez	-0.2792	-0.3339	9	4	4
45	 manifestó	0.0694	-0.2712	5	8	10
50	 había	-0.3777	-0.2731	9	12	14
51	 había sido	-0.4955	-0.3007	9	3	3
52	 sido	-0.4051	-0.207	9	4	4
56	 la mata de aguachica-cesar	0.1354	0.7971	1	8	8
57	 residir	0.2228	0.931	1	2	2
58	 fingiendo	0.1429	0.9636	1	2	2
59	 fingiendo acercarse	0.1709	0.9589	1	2	2
60	 acercarse	0.1972	0.9487	1	2	2
61	 comprar	-0.0213	0.5756	1	3	3
62	 producirle	0.1121	0.9612	1	2	2
63	 john luís aldana martínez	0.1213	0.8012	1	8	8
65	 cesar orlando contreras	1.1704	-0.0392	3	19	19
66	 dice	0.74	-0.0442	3	7	10
67	 debió	1.3411	-0.1629	3	3	4
68	 ocurrieron	0.9419	-0.0073	15	4	5
69	 arrendó	1.3704	0.0576	3	3	4
70	 remodelaron	1.3608	-0.0185	3	3	4
71	 haciendo	0.995	0.127	3	4	5
72	 vencerse	1.3946	-0.0769	3	3	4
73	 pedimos	1.3181	0.1019	3	3	4
74	 son	1.3471	0.0304	3	3	4
75	 dijo	0.7121	-0.0914	20	10	13
76	 entregar	1.3451	-0.1149	3	3	4
77	 mandó	1.3682	-0.1424	3	3	4
78	 amenazar	1.3849	0.0231	3	3	4
79	 no quiso	1.3829	-0.1086	3	3	4
80	 quiso	1.3955	-0.0429	3	3	4
81	 quiso vender	1.3953	-0.0089	3	3	4
82	 vender	1.3155	-0.1849	3	3	4
83	 no quiso vender	1.3605	-0.0667	3	3	4
84	 asesinaron	1.3437	0.0791	3	3	4
85	 ramón eliécer contreras	1.1703	-0.0515	3	19	38
86	 maría teresa	1.1712	-0.0271	3	19	19
87	 ramon contreras	-0.3018	-0.4564	11	12	12
88	 después llegaron	-0.3719	-0.6207	11	2	2
89	 llegaron	-0.2637	-0.0643	6	11	12
90	 hablar	-0.407	-0.5983	11	2	2
91	 llegamos	0.0733	-0.5063	8	6	6
92	 abrieron	-0.4453	-0.5616	11	2	2
93	 maniataron	-0.3247	-0.6423	11	2	2
94	 hicieron	-0.3991	-0.6248	11	2	2
95	 hicieron firmar	-0.3547	-0.6411	11	2	2
