item,value
accionar,18
considerando,3
referido,2
confesado,18
fueron,419
fueron formulados,1
formulados,1
contaron,1
estuviera,1
permite,1
permite predicar,1
predicar,1
realizado,11
procede,12
declarar,2
viene,2
comprende,1
delinquir,41
son,34
iiii,1
teniendo,37
considera,8
resuelve,13
atendiendo,11
derivaron,1
tiene,48
integró,3
paramilitar,110
ostentar,2
posteriormente hizo,1
hizo,60
conformar,2
destacándose,1
informó,47
dio,92
regresó,23
culminar,1
decide,12
decide seguirlos,1
seguirlos,1
dar,16
suministrando,1
decidió,36
decidió crear,1
crear,4
organizando,2
informar,6
denunciar,6
relató,4
combatir,5
llegó,88
conformado,1
propusieron,5
propusieron adherirse,1
adherirse,1
establecer,25
estaban,39
expandirse,1
expandirse incursionaron,1
incursionaron,38
partió,3
protegerse,1
propuso,11
equipar,1
permanecer,3
encontró,25
suministrar,6
dividir,1
realizar,30
iban,46
salir,93
entrar,15
abordar,13
llevó,52
acompañando,1
manifestó,203
apoyar,2
señaló,52
financió,1
constituyó,3
aclaró,2
era,398
expuso,1
interceptado,79
secuestrarlo,1
percatarse,4
emprendió,4
enfrentaron,1
logrando,7
logrando dar,1
logró,13
logró incrementar,1
incrementar,1
fueron entregados,22
entregados,26
presentó,199
narró,1
propició,1
llegaron,213
replicar,1
perdió,7
decidió vincularse,1
vincularse,17
mantener,3
instaló,4
permitió,15
permitió mantener,1
logró captar,1
captar,1
contactaron,1
consolidar,3
aceptó,167
conservar,1
tuvo,85
asistieron,4
propusieron hacer,1
hacer,52
apoyarían,1
informó aceptó,1
tomar,12
fuera,31
había,147
había demostrado,1
demostrado,1
había demostrado ser,1
demostrado ser,1
ser,309
solicitaron,11
debía,17
debía tener,1
tener,33
llevaría,5
realizó,31
también hicieron,1
hicieron,53
asignado,24
ya era,8
operó,6
fungiendo,2
utilizar,1
posteriormente quedó,2
quedó,20
puso,9
lograron,5
transformó,1
pasó,10
haciendo,21
da,94
daría,1
desplazar,6
vikingo,1
dando,9
conocido,40
registra,109
coordinar,2
acreditado,1
ejecutar,7
dicho,1
han,29
han proferido,3
proferido,3
formulado,3
abstuvo,5
formular,4
lozada,53
desertó,2
ingresar,22
asignó,5
levantaron,1
enviado,7
reforzar,1
conoció,61
enterándose,4
dirigieron,14
regresa,9
iniciar,3
desarrollar,3
partir,1
asume,47
estuvo,28
incursionando,2
dieron,64
despojaron,7
permanece,5
incorporarse,1
viaja,2
recibe,4
entrega,2
sale,11
disfrutar,1
reintegrarse,1
creó,2
dirigió,14
desempeñó,10
ordena,15
ordena organizar,1
organizar,3
desempeñándose,2
recibir,13
logra,11
logra consolidar,1
contar,2
dada,15
aplicó,1
llegar,32
controlar,1
no era,19
decidió ingresar,1
transportar,6
trasladar,2
entrenado,2
trasladado,18
ascendido,3
incursionaría,1
así tomar,1
capturado,5
son recluidos,1
recluidos,1
recobraron,1
paramilitar tomando,1
tomando,6
recluido,1
liberado,4
aprovechando,7
haber,62
haber simulado,1
simulado,1
ejecutaron,6
permitió retomar,1
retomar,1
fortaleció,1
superó,1
convirtiendo,1
recibió,75
trasladarse,18
negociaron,1
desmovilizó,20
condenó,5
atribuir,1
probar,1
adhirió,1
colaborar,5
vinculó,15
manifestó había,1
profirió,9
delinquir no,1
fundamentó,1
ingresó,36
prestó,2
adujo,4
perteneció,24
no formuló,5
formuló,1084
impuso,3
acreditó,1
fungió,2
asumió,22
condenado,5
corresponde,9
refiere,46
poner,5
laboró,4
materializó,1
estima,1
imponer,2
posicionado,1
verificó,4
incautado,1
evidenció,2
conlleva,1
actuar,32
actuar respetando,1
respetando,1
integrar,4
destacó,1
convertirse,1
nombrado,1
sucediendo,1
falleció,5
vio,49
delegar,1
continuó,11
continuó recibiendo,1
recibiendo,10
permaneció,42
produjo,114
profirieron,2
ramon,2
tomó,8
ejerció,13
espació,1
brindar,2
desertar,1
requerido,2
imponiéndole,1
cobijando,1
allí participó,1
participó,8
dividió,1
posteriormente entregó,1
entregó,20
luego viajó,1
viajó,4
encontrándose,8
sido,61
sido condenado,2
puesto,3
sanchez,4
ostentando,1
operando,2
aceptado,16
organización,1
organización paramilitar,1
haber sido,12
haber sido desplazado,1
sido desplazado,1
desplazado,11
ingresando,5
invitado,1
también estuvo,2
desmovilizó colectivamente estando,1
colectivamente estando,1
estando,21
